,non_null_count,mean,std,min,25%,50%,75%,max
Day Index,8000,2.001125,0.529772419749359,1.0,2.0,2.0,2.0,3.0
Temp (F),8000,80.39475,22.86320763192257,0.0,86.0,86.0,88.0,89.0
Temp (C),8000,26.70125,12.426314823792794,-17.0,30.0,30.0,31.0,31.0
OBS_1,7202,298767.51666203834,4631446.631173546,2613.0,10335.0,10433.0,10563.0,111602625.0
OBS_2,8000,10959.839,1366.9881310376472,2092.0,10775.0,11000.0,11281.0,16928.0
OBS_3,8000,11516.327875,677.8929059755537,2614.0,11271.0,11560.0,11890.0,16383.0
OBS_4,8000,11577.59725,683.5894015058813,2611.0,11340.0,11637.0,11959.0,16383.0
OBS_5,8000,11268.565625,626.9743394239882,2612.0,11053.0,11303.0,11554.0,16383.0
OBS_6,8000,10795.057375,558.345380592168,2613.0,10632.0,10794.0,10982.0,16383.0
OBS_7,8000,10311.426875,519.8116860232658,2618.0,10186.0,10312.0,10445.0,16383.0
OBS_8,8000,9906.152125,513.4954176289942,2620.0,9762.0,9907.0,10037.0,16383.0
OBS_9,8000,9610.089375,529.9920424711532,2621.0,9408.0,9594.0,9764.0,16383.0
OBS_10,8000,9423.55675,557.5989944478591,2619.0,9160.0,9397.0,9598.0,16383.0
OBS_11,8000,9332.690625,582.2325340897556,2613.0,9042.0,9299.5,9524.0,16383.0
OBS_12,8000,9317.04475,594.8091809502064,2614.0,9026.0,9286.0,9514.0,16383.0
OBS_13,8000,9359.785875,576.9992101697813,2614.0,9086.0,9329.0,9548.0,16383.0
OBS_14,8000,9446.890625,555.9841521655917,2613.0,9203.0,9421.0,9618.0,16383.0
OBS_15,8000,9561.870875,544.393569025649,2613.0,9353.0,9529.0,9706.0,16383.0
OBS_16,8000,9688.517125,546.9367627381969,2613.0,9513.0,9654.0,9807.0,16383.0
OBS_17,8000,9818.135625,549.7160957749952,2614.0,9674.0,9792.0,9913.0,16383.0
OBS_18,8000,9941.826375,533.9157295211841,2613.0,9832.0,9923.0,10014.0,16383.0
OBS_19,8000,10054.29175,500.38412261552446,2612.0,9966.0,10039.0,10119.0,16383.0
OBS_20,8000,10151.08175,478.5580142872621,2612.0,10077.0,10144.0,10210.0,16383.0
OBS_21,8000,10232.788875,483.59346654121015,2613.0,10172.0,10232.0,10291.0,16383.0
OBS_22,8000,10300.743,479.06656797158,2614.0,10243.0,10303.0,10363.0,16383.0
OBS_23,8000,10352.6655,475.8712123948015,2614.0,10295.0,10359.0,10421.0,16383.0
OBS_24,8000,10393.97925,479.6776304436981,2619.0,10334.0,10402.0,10466.0,16383.0
OBS_25,8000,10424.555125,464.5682368254074,2619.0,10365.0,10431.0,10500.0,16383.0
OBS_26,8000,10444.39275,470.52644706712414,2620.0,10381.0,10452.0,10521.0,16383.0
OBS_27,8000,10456.78075,487.1204624859841,2616.0,10393.0,10464.0,10535.0,16383.0
OBS_28,8000,10460.259375,492.3357958919897,2616.0,10400.0,10470.0,10541.0,16383.0
OBS_29,8000,10454.330625,493.3533361105312,2616.0,10396.0,10470.5,10535.0,16383.0
OBS_30,8000,10446.20925,481.57939434071426,2615.0,10392.0,10461.0,10529.0,16383.0
OBS_31,8000,10436.0375,474.9193843658688,2614.0,10382.0,10454.0,10519.0,16383.0
OBS_32,8000,10423.651,483.320496965366,2613.0,10374.0,10441.5,10506.0,16383.0
OBS_33,8000,10411.956,499.48550107557986,2614.0,10365.0,10431.0,10494.0,16383.0
OBS_34,8000,10400.59575,503.12094263437507,2614.0,10354.0,10419.0,10480.0,16383.0
OBS_35,8000,10389.797,497.42206865025355,2612.0,10343.0,10406.0,10469.0,16383.0
OBS_36,8000,10377.22725,483.08435046961114,2614.0,10330.0,10392.0,10454.25,16383.0
OBS_37,8000,10237.11525,481.4641206049172,2609.0,10153.0,10267.0,10351.0,16383.0
OBS_38,8000,9641.476,574.1314268405021,2611.0,9403.75,9671.0,9887.0,16383.0
OBS_39,8000,8954.482375,677.377147100702,2612.0,8560.0,8928.0,9254.0,16383.0
OBS_40,8000,8712.084125,722.662148670196,2612.0,8232.0,8678.0,9002.0,16383.0
OBS_41,8000,8981.3725,672.1919846679083,2612.0,8613.0,8939.0,9252.25,16383.0
OBS_42,8000,9557.876125,563.0805259816991,2611.0,9321.0,9561.0,9776.0,16383.0
OBS_43,8000,10213.894125,489.04578992008936,2611.0,10047.0,10212.5,10381.0,16383.0
OBS_44,8000,10792.190625,501.8799485160268,2613.0,10607.0,10788.0,10996.0,16383.0
OBS_45,8000,11213.1595,549.6348645876609,2610.0,10995.0,11240.0,11501.25,16383.0
OBS_46,8000,11464.733,590.2739659517096,2606.0,11224.0,11493.0,11837.0,16383.0
OBS_47,8000,11563.925125,610.6526329252144,2606.0,11314.0,11590.0,11961.0,16383.0
OBS_48,8000,11545.444625,607.8086243622168,2607.0,11303.0,11571.5,11929.0,16383.0
OBS_49,8000,11443.413,587.7696675388752,2613.0,11211.0,11478.0,11784.0,16383.0
OBS_50,8000,11286.658125,555.9674014413233,2605.0,11084.0,11323.0,11576.0,16383.0
OBS_51,8000,11104.702625,519.5101869043538,2609.0,10941.0,11137.0,11336.0,16383.0
OBS_52,8000,10920.141625,485.2849572710642,2605.0,10796.0,10949.5,11098.0,16383.0
OBS_53,8000,10743.411375,455.88847121075815,2604.0,10650.0,10762.0,10876.0,16383.0
OBS_54,8000,10585.347125,428.8493929743473,2603.0,10513.0,10596.0,10684.0,16383.0
OBS_55,8000,10449.25375,417.9481722597605,2602.0,10388.0,10453.0,10523.0,16383.0
OBS_56,8000,11013.778,455.48986277730336,2547.0,10928.0,11026.0,11127.0,17146.0
OBS_57,8000,10027.3655,401.5679484992642,2624.0,9957.0,10033.0,10108.0,15713.0
